vds	d(Is(M1))/Is(M1)
-1.800000000000000e+000	-2.183020e-002
-1.799000000000000e+000	-2.183067e-002
-1.798000000000000e+000	-2.177764e-002
-1.797000000000000e+000	-2.177812e-002
-1.796000000000001e+000	-2.183210e-002
-1.795000000000001e+000	-2.183258e-002
-1.794000000000001e+000	-2.183305e-002
-1.793000000000001e+000	-2.178002e-002
-1.792000000000001e+000	-2.178049e-002
-1.791000000000001e+000	-2.183448e-002
-1.790000000000001e+000	-2.183496e-002
-1.789000000000001e+000	-2.183544e-002
-1.788000000000001e+000	-2.183591e-002
-1.787000000000002e+000	-2.183639e-002
-1.786000000000002e+000	-2.183687e-002
-1.785000000000002e+000	-2.183734e-002
-1.784000000000002e+000	-2.183782e-002
-1.783000000000002e+000	-2.183830e-002
-1.782000000000002e+000	-2.189230e-002
-1.781000000000002e+000	-2.189278e-002
-1.780000000000002e+000	-2.183973e-002
-1.779000000000002e+000	-2.184021e-002
-1.778000000000003e+000	-2.184068e-002
-1.777000000000003e+000	-2.189469e-002
-1.776000000000003e+000	-2.189517e-002
-1.775000000000003e+000	-2.184212e-002
-1.774000000000003e+000	-2.189613e-002
-1.773000000000003e+000	-2.189661e-002
-1.772000000000003e+000	-2.184355e-002
-1.771000000000003e+000	-2.189757e-002
-1.770000000000003e+000	-2.189805e-002
-1.769000000000004e+000	-2.189853e-002
-1.768000000000004e+000	-2.189901e-002
-1.767000000000004e+000	-2.189949e-002
-1.766000000000004e+000	-2.189997e-002
-1.765000000000004e+000	-2.190044e-002
-1.764000000000004e+000	-2.195447e-002
-1.763000000000004e+000	-2.190141e-002
-1.762000000000004e+000	-2.190188e-002
-1.761000000000004e+000	-2.195592e-002
-1.760000000000004e+000	-2.190285e-002
-1.759000000000005e+000	-2.190333e-002
-1.758000000000005e+000	-2.195736e-002
-1.757000000000005e+000	-2.195784e-002
-1.756000000000005e+000	-2.195832e-002
-1.755000000000005e+000	-2.190525e-002
-1.754000000000005e+000	-2.190573e-002
-1.753000000000005e+000	-2.195977e-002
-1.752000000000005e+000	-2.196025e-002
-1.751000000000005e+000	-2.196073e-002
-1.750000000000006e+000	-2.196122e-002
-1.749000000000006e+000	-2.196170e-002
-1.748000000000006e+000	-2.196218e-002
-1.747000000000006e+000	-2.196266e-002
-1.746000000000006e+000	-2.201671e-002
-1.745000000000006e+000	-2.201720e-002
-1.744000000000006e+000	-2.196411e-002
-1.743000000000006e+000	-2.196459e-002
-1.742000000000006e+000	-2.196508e-002
-1.741000000000007e+000	-2.201913e-002
-1.740000000000007e+000	-2.201962e-002
-1.739000000000007e+000	-2.196653e-002
-1.738000000000007e+000	-2.202059e-002
-1.737000000000007e+000	-2.202107e-002
-1.736000000000007e+000	-2.202156e-002
-1.735000000000007e+000	-2.202204e-002
-1.734000000000007e+000	-2.196894e-002
-1.733000000000007e+000	-2.202301e-002
-1.732000000000008e+000	-2.207708e-002
-1.731000000000008e+000	-2.202398e-002
-1.730000000000008e+000	-2.202447e-002
-1.729000000000008e+000	-2.202495e-002
-1.728000000000008e+000	-2.202544e-002
-1.727000000000008e+000	-2.207952e-002
-1.726000000000008e+000	-2.202641e-002
-1.725000000000008e+000	-2.202689e-002
-1.724000000000008e+000	-2.208098e-002
-1.723000000000009e+000	-2.208146e-002
-1.722000000000009e+000	-2.208195e-002
-1.721000000000009e+000	-2.208244e-002
-1.720000000000009e+000	-2.208293e-002
-1.719000000000009e+000	-2.202981e-002
-1.718000000000009e+000	-2.203030e-002
-1.717000000000009e+000	-2.208439e-002
-1.716000000000009e+000	-2.213848e-002
-1.715000000000009e+000	-2.213897e-002
-1.714000000000010e+000	-2.208585e-002
-1.713000000000010e+000	-2.208634e-002
-1.712000000000010e+000	-2.208683e-002
-1.711000000000010e+000	-2.208732e-002
-1.710000000000010e+000	-2.208780e-002
-1.709000000000010e+000	-2.214190e-002
-1.708000000000010e+000	-2.214240e-002
-1.707000000000010e+000	-2.208927e-002
-1.706000000000010e+000	-2.214337e-002
-1.705000000000011e+000	-2.214386e-002
-1.704000000000011e+000	-2.214435e-002
-1.703000000000011e+000	-2.214485e-002
-1.702000000000011e+000	-2.214533e-002
-1.701000000000011e+000	-2.214583e-002
-1.700000000000011e+000	-2.214632e-002
-1.699000000000011e+000	-2.214681e-002
-1.698000000000011e+000	-2.214730e-002
-1.697000000000011e+000	-2.220142e-002
-1.696000000000012e+000	-2.214828e-002
-1.695000000000012e+000	-2.214877e-002
-1.694000000000012e+000	-2.220289e-002
-1.693000000000012e+000	-2.220338e-002
-1.692000000000012e+000	-2.215024e-002
-1.691000000000012e+000	-2.215073e-002
-1.690000000000012e+000	-2.220486e-002
-1.689000000000012e+000	-2.220535e-002
-1.688000000000012e+000	-2.220585e-002
-1.687000000000013e+000	-2.220634e-002
-1.686000000000013e+000	-2.220683e-002
-1.685000000000013e+000	-2.220733e-002
-1.684000000000013e+000	-2.220782e-002
-1.683000000000013e+000	-2.226196e-002
-1.682000000000013e+000	-2.226245e-002
-1.681000000000013e+000	-2.220930e-002
-1.680000000000013e+000	-2.220980e-002
-1.679000000000013e+000	-2.226394e-002
-1.678000000000014e+000	-2.226443e-002
-1.677000000000014e+000	-2.221128e-002
-1.676000000000014e+000	-2.226542e-002
-1.675000000000014e+000	-2.226592e-002
-1.674000000000014e+000	-2.226641e-002
-1.673000000000014e+000	-2.226691e-002
-1.672000000000014e+000	-2.226741e-002
-1.671000000000014e+000	-2.226790e-002
-1.670000000000014e+000	-2.226840e-002
-1.669000000000015e+000	-2.226889e-002
-1.668000000000015e+000	-2.226939e-002
-1.667000000000015e+000	-2.232355e-002
-1.666000000000015e+000	-2.232405e-002
-1.665000000000015e+000	-2.227088e-002
-1.664000000000015e+000	-2.227138e-002
-1.663000000000015e+000	-2.232554e-002
-1.662000000000015e+000	-2.232604e-002
-1.661000000000015e+000	-2.232654e-002
-1.660000000000016e+000	-2.232704e-002
-1.659000000000016e+000	-2.232753e-002
-1.658000000000016e+000	-2.232803e-002
-1.657000000000016e+000	-2.232853e-002
-1.656000000000016e+000	-2.232903e-002
-1.655000000000016e+000	-2.232953e-002
-1.654000000000016e+000	-2.238370e-002
-1.653000000000016e+000	-2.238421e-002
-1.652000000000016e+000	-2.233103e-002
-1.651000000000017e+000	-2.233153e-002
-1.650000000000017e+000	-2.238571e-002
-1.649000000000017e+000	-2.238621e-002
-1.648000000000017e+000	-2.238671e-002
-1.647000000000017e+000	-2.238721e-002
-1.646000000000017e+000	-2.238771e-002
-1.645000000000017e+000	-2.238821e-002
-1.644000000000017e+000	-2.238871e-002
-1.643000000000017e+000	-2.238922e-002
-1.642000000000017e+000	-2.238972e-002
-1.641000000000018e+000	-2.244391e-002
-1.640000000000018e+000	-2.239072e-002
-1.639000000000018e+000	-2.239122e-002
-1.638000000000018e+000	-2.244542e-002
-1.637000000000018e+000	-2.244592e-002
-1.636000000000018e+000	-2.244643e-002
-1.635000000000018e+000	-2.244693e-002
-1.634000000000018e+000	-2.244744e-002
-1.633000000000018e+000	-2.244794e-002
-1.632000000000019e+000	-2.244844e-002
-1.631000000000019e+000	-2.244895e-002
-1.630000000000019e+000	-2.244945e-002
-1.629000000000019e+000	-2.244996e-002
-1.628000000000019e+000	-2.245046e-002
-1.627000000000019e+000	-2.250467e-002
-1.626000000000019e+000	-2.250518e-002
-1.625000000000019e+000	-2.245197e-002
-1.624000000000019e+000	-2.250619e-002
-1.623000000000020e+000	-2.250670e-002
-1.622000000000020e+000	-2.250721e-002
-1.621000000000020e+000	-2.250771e-002
-1.620000000000020e+000	-2.250822e-002
-1.619000000000020e+000	-2.250873e-002
-1.618000000000020e+000	-2.250923e-002
-1.617000000000020e+000	-2.256346e-002
-1.616000000000020e+000	-2.251025e-002
-1.615000000000020e+000	-2.251075e-002
-1.614000000000021e+000	-2.256499e-002
-1.613000000000021e+000	-2.256550e-002
-1.612000000000021e+000	-2.256601e-002
-1.611000000000021e+000	-2.256652e-002
-1.610000000000021e+000	-2.251329e-002
-1.609000000000021e+000	-2.251380e-002
-1.608000000000021e+000	-2.262177e-002
-1.607000000000021e+000	-2.262229e-002
-1.606000000000021e+000	-2.256906e-002
-1.605000000000022e+000	-2.256957e-002
-1.604000000000022e+000	-2.257008e-002
-1.603000000000022e+000	-2.257059e-002
