vin	V(vout)
0.000000000000000e+000	1.770513e+000
1.000000000000000e-004	1.770465e+000
2.000000000000000e-004	1.770417e+000
3.000000000000000e-004	1.770369e+000
4.000000000000000e-004	1.770321e+000
5.000000000000000e-004	1.770273e+000
6.000000000000001e-004	1.770225e+000
7.000000000000001e-004	1.770177e+000
8.000000000000002e-004	1.770128e+000
9.000000000000002e-004	1.770080e+000
1.000000000000000e-003	1.770031e+000
1.100000000000000e-003	1.769982e+000
1.200000000000000e-003	1.769934e+000
1.300000000000000e-003	1.769885e+000
1.400000000000000e-003	1.769836e+000
1.500000000000001e-003	1.769787e+000
1.600000000000001e-003	1.769738e+000
1.700000000000001e-003	1.769689e+000
1.800000000000001e-003	1.769639e+000
1.900000000000001e-003	1.769590e+000
2.000000000000001e-003	1.769541e+000
2.100000000000000e-003	1.769491e+000
2.200000000000000e-003	1.769441e+000
2.300000000000000e-003	1.769392e+000
2.400000000000000e-003	1.769342e+000
2.500000000000000e-003	1.769292e+000
2.599999999999999e-003	1.769242e+000
2.699999999999999e-003	1.769192e+000
2.799999999999999e-003	1.769141e+000
2.899999999999999e-003	1.769091e+000
2.999999999999999e-003	1.769041e+000
3.099999999999999e-003	1.768990e+000
3.199999999999998e-003	1.768940e+000
3.299999999999998e-003	1.768889e+000
3.399999999999998e-003	1.768838e+000
3.499999999999998e-003	1.768788e+000
3.599999999999998e-003	1.768737e+000
3.699999999999998e-003	1.768686e+000
3.799999999999997e-003	1.768635e+000
3.899999999999997e-003	1.768583e+000
3.999999999999998e-003	1.768532e+000
4.099999999999998e-003	1.768481e+000
4.199999999999998e-003	1.768429e+000
4.299999999999998e-003	1.768378e+000
4.399999999999999e-003	1.768326e+000
4.499999999999999e-003	1.768274e+000
4.599999999999999e-003	1.768222e+000
4.699999999999999e-003	1.768170e+000
4.800000000000000e-003	1.768118e+000
4.900000000000000e-003	1.768066e+000
5.000000000000000e-003	1.768014e+000
5.100000000000000e-003	1.767962e+000
5.200000000000001e-003	1.767909e+000
5.300000000000001e-003	1.767857e+000
5.400000000000001e-003	1.767804e+000
5.500000000000001e-003	1.767752e+000
5.600000000000002e-003	1.767699e+000
5.700000000000002e-003	1.767646e+000
5.800000000000002e-003	1.767593e+000
5.900000000000003e-003	1.767540e+000
6.000000000000003e-003	1.767487e+000
6.100000000000003e-003	1.767434e+000
6.200000000000003e-003	1.767380e+000
6.300000000000004e-003	1.767327e+000
6.400000000000004e-003	1.767274e+000
6.500000000000004e-003	1.767220e+000
6.600000000000004e-003	1.767166e+000
6.700000000000005e-003	1.767113e+000
6.800000000000005e-003	1.767059e+000
6.900000000000005e-003	1.767005e+000
7.000000000000005e-003	1.766951e+000
7.100000000000006e-003	1.766897e+000
7.200000000000006e-003	1.766842e+000
7.300000000000006e-003	1.766788e+000
7.400000000000006e-003	1.766734e+000
7.500000000000007e-003	1.766679e+000
7.600000000000007e-003	1.766625e+000
7.700000000000007e-003	1.766570e+000
7.800000000000007e-003	1.766515e+000
7.900000000000008e-003	1.766460e+000
8.000000000000007e-003	1.766405e+000
8.100000000000007e-003	1.766350e+000
8.200000000000006e-003	1.766295e+000
8.300000000000005e-003	1.766240e+000
8.400000000000005e-003	1.766185e+000
8.500000000000004e-003	1.766129e+000
8.600000000000004e-003	1.766074e+000
8.700000000000003e-003	1.766018e+000
8.800000000000002e-003	1.765962e+000
8.900000000000002e-003	1.765907e+000
9.000000000000001e-003	1.765851e+000
9.100000000000000e-003	1.765795e+000
9.200000000000000e-003	1.765739e+000
9.299999999999999e-003	1.765682e+000
9.399999999999999e-003	1.765626e+000
9.499999999999998e-003	1.765570e+000
9.599999999999997e-003	1.765513e+000
9.699999999999997e-003	1.765457e+000
9.799999999999996e-003	1.765400e+000
9.899999999999996e-003	1.765344e+000
9.999999999999995e-003	1.765287e+000
1.009999999999999e-002	1.765230e+000
1.019999999999999e-002	1.765173e+000
1.029999999999999e-002	1.765116e+000
1.039999999999999e-002	1.765059e+000
1.049999999999999e-002	1.765001e+000
1.059999999999999e-002	1.764944e+000
1.069999999999999e-002	1.764887e+000
1.079999999999999e-002	1.764829e+000
1.089999999999999e-002	1.764771e+000
1.099999999999999e-002	1.764714e+000
1.109999999999999e-002	1.764656e+000
1.119999999999999e-002	1.764598e+000
1.129999999999999e-002	1.764540e+000
1.139999999999999e-002	1.764482e+000
1.149999999999999e-002	1.764424e+000
1.159999999999999e-002	1.764366e+000
1.169999999999999e-002	1.764307e+000
1.179999999999998e-002	1.764249e+000
1.189999999999998e-002	1.764190e+000
1.199999999999998e-002	1.764132e+000
1.209999999999998e-002	1.764073e+000
1.219999999999998e-002	1.764014e+000
1.229999999999998e-002	1.763955e+000
1.239999999999998e-002	1.763896e+000
1.249999999999998e-002	1.763837e+000
1.259999999999998e-002	1.763778e+000
1.269999999999998e-002	1.763719e+000
1.279999999999998e-002	1.763659e+000
1.289999999999998e-002	1.763600e+000
1.299999999999998e-002	1.763540e+000
1.309999999999998e-002	1.763481e+000
1.319999999999998e-002	1.763421e+000
1.329999999999998e-002	1.763361e+000
1.339999999999997e-002	1.763301e+000
1.349999999999997e-002	1.763241e+000
1.359999999999997e-002	1.763181e+000
1.369999999999997e-002	1.763121e+000
1.379999999999997e-002	1.763061e+000
1.389999999999997e-002	1.763000e+000
1.399999999999997e-002	1.762940e+000
1.409999999999997e-002	1.762879e+000
1.419999999999997e-002	1.762819e+000
1.429999999999997e-002	1.762758e+000
1.439999999999997e-002	1.762697e+000
1.449999999999997e-002	1.762636e+000
1.459999999999997e-002	1.762575e+000
1.469999999999997e-002	1.762514e+000
1.479999999999997e-002	1.762453e+000
1.489999999999997e-002	1.762392e+000
1.499999999999997e-002	1.762330e+000
1.509999999999996e-002	1.762269e+000
1.519999999999996e-002	1.762207e+000
1.529999999999996e-002	1.762146e+000
1.539999999999996e-002	1.762084e+000
1.549999999999996e-002	1.762022e+000
1.559999999999996e-002	1.761960e+000
1.569999999999996e-002	1.761898e+000
1.579999999999996e-002	1.761836e+000
1.589999999999996e-002	1.761774e+000
1.599999999999996e-002	1.761712e+000
1.609999999999996e-002	1.761649e+000
1.619999999999996e-002	1.761587e+000
1.629999999999996e-002	1.761524e+000
1.639999999999996e-002	1.761462e+000
1.649999999999996e-002	1.761399e+000
1.659999999999996e-002	1.761336e+000
1.669999999999995e-002	1.761273e+000
1.679999999999995e-002	1.761210e+000
1.689999999999995e-002	1.761147e+000
1.699999999999995e-002	1.761084e+000
1.709999999999995e-002	1.761021e+000
1.719999999999995e-002	1.760957e+000
1.729999999999995e-002	1.760894e+000
1.739999999999995e-002	1.760831e+000
1.749999999999995e-002	1.760767e+000
1.759999999999995e-002	1.760703e+000
1.769999999999995e-002	1.760639e+000
1.779999999999995e-002	1.760576e+000
1.789999999999995e-002	1.760512e+000
1.799999999999995e-002	1.760448e+000
1.809999999999995e-002	1.760383e+000
1.819999999999995e-002	1.760319e+000
1.829999999999995e-002	1.760255e+000
1.839999999999994e-002	1.760190e+000
1.849999999999994e-002	1.760126e+000
1.859999999999994e-002	1.760062e+000
1.869999999999994e-002	1.759997e+000
1.879999999999994e-002	1.759932e+000
1.889999999999994e-002	1.759867e+000
1.899999999999994e-002	1.759802e+000
1.909999999999994e-002	1.759737e+000
1.919999999999994e-002	1.759672e+000
1.929999999999994e-002	1.759607e+000
1.939999999999994e-002	1.759542e+000
1.949999999999994e-002	1.759476e+000
1.959999999999994e-002	1.759411e+000
1.969999999999994e-002	1.759345e+000
1.979999999999994e-002	1.759280e+000
1.989999999999994e-002	1.759214e+000
1.999999999999993e-002	1.759148e+000
2.009999999999993e-002	1.759082e+000
2.019999999999993e-002	1.759016e+000
2.029999999999993e-002	1.758950e+000
2.039999999999993e-002	1.758884e+000
2.049999999999993e-002	1.758818e+000
2.059999999999993e-002	1.758752e+000
2.069999999999993e-002	1.758685e+000
2.079999999999993e-002	1.758619e+000
2.089999999999993e-002	1.758552e+000
2.099999999999993e-002	1.758486e+000
2.109999999999993e-002	1.758419e+000
2.119999999999993e-002	1.758352e+000
2.129999999999993e-002	1.758285e+000
2.139999999999993e-002	1.758218e+000
2.149999999999993e-002	1.758151e+000
2.159999999999993e-002	1.758084e+000
2.169999999999992e-002	1.758017e+000
2.179999999999992e-002	1.757949e+000
2.189999999999992e-002	1.757882e+000
2.199999999999992e-002	1.757814e+000
2.209999999999992e-002	1.757747e+000
2.219999999999992e-002	1.757679e+000
2.229999999999992e-002	1.757611e+000
2.239999999999992e-002	1.757543e+000
2.249999999999992e-002	1.757475e+000
2.259999999999992e-002	1.757407e+000
2.269999999999992e-002	1.757339e+000
2.279999999999992e-002	1.757271e+000
2.289999999999992e-002	1.757203e+000
2.299999999999992e-002	1.757135e+000
2.309999999999992e-002	1.757066e+000
2.319999999999992e-002	1.756998e+000
2.329999999999992e-002	1.756929e+000
2.339999999999991e-002	1.756860e+000
2.349999999999991e-002	1.756792e+000
2.359999999999991e-002	1.756723e+000
2.369999999999991e-002	1.756654e+000
2.379999999999991e-002	1.756585e+000
2.389999999999991e-002	1.756516e+000
2.399999999999991e-002	1.756446e+000
2.409999999999991e-002	1.756377e+000
2.419999999999991e-002	1.756308e+000
2.429999999999991e-002	1.756238e+000
2.439999999999991e-002	1.756169e+000
2.449999999999991e-002	1.756099e+000
2.459999999999991e-002	1.756030e+000
2.469999999999991e-002	1.755960e+000
2.479999999999991e-002	1.755890e+000
2.489999999999991e-002	1.755820e+000
2.499999999999990e-002	1.755750e+000
2.509999999999990e-002	1.755680e+000
2.519999999999990e-002	1.755610e+000
2.529999999999990e-002	1.755540e+000
2.539999999999990e-002	1.755469e+000
2.549999999999990e-002	1.755399e+000
2.559999999999990e-002	1.755329e+000
2.569999999999990e-002	1.755258e+000
2.579999999999990e-002	1.755187e+000
2.589999999999990e-002	1.755117e+000
2.599999999999990e-002	1.755046e+000
2.609999999999990e-002	1.754975e+000
2.619999999999990e-002	1.754904e+000
2.629999999999990e-002	1.754833e+000
2.639999999999990e-002	1.754762e+000
2.649999999999990e-002	1.754691e+000
2.659999999999990e-002	1.754619e+000
2.669999999999989e-002	1.754548e+000
2.679999999999989e-002	1.754477e+000
2.689999999999989e-002	1.754405e+000
2.699999999999989e-002	1.754333e+000
2.709999999999989e-002	1.754262e+000
2.719999999999989e-002	1.754190e+000
2.729999999999989e-002	1.754118e+000
2.739999999999989e-002	1.754046e+000
2.749999999999989e-002	1.753974e+000
2.759999999999989e-002	1.753902e+000
2.769999999999989e-002	1.753830e+000
2.779999999999989e-002	1.753758e+000
2.789999999999989e-002	1.753686e+000
2.799999999999989e-002	1.753613e+000
2.809999999999989e-002	1.753541e+000
2.819999999999989e-002	1.753468e+000
2.829999999999988e-002	1.753396e+000
2.839999999999988e-002	1.753323e+000
2.849999999999988e-002	1.753250e+000
2.859999999999988e-002	1.753177e+000
2.869999999999988e-002	1.753105e+000
2.879999999999988e-002	1.753032e+000
2.889999999999988e-002	1.752959e+000
2.899999999999988e-002	1.752885e+000
2.909999999999988e-002	1.752812e+000
2.919999999999988e-002	1.752739e+000
2.929999999999988e-002	1.752666e+000
2.939999999999988e-002	1.752592e+000
2.949999999999988e-002	1.752519e+000
2.959999999999988e-002	1.752445e+000
2.969999999999988e-002	1.752371e+000
2.979999999999988e-002	1.752298e+000
2.989999999999988e-002	1.752224e+000
2.999999999999987e-002	1.752150e+000
3.009999999999987e-002	1.752076e+000
3.019999999999987e-002	1.752002e+000
3.029999999999987e-002	1.751928e+000
3.039999999999987e-002	1.751854e+000
3.049999999999987e-002	1.751779e+000
3.059999999999987e-002	1.751705e+000
3.069999999999987e-002	1.751631e+000
3.079999999999987e-002	1.751556e+000
3.089999999999987e-002	1.751482e+000
3.099999999999987e-002	1.751407e+000
3.109999999999987e-002	1.751333e+000
3.119999999999987e-002	1.751258e+000
3.129999999999987e-002	1.751183e+000
3.139999999999987e-002	1.751108e+000
3.149999999999988e-002	1.751033e+000
3.159999999999988e-002	1.750958e+000
3.169999999999988e-002	1.750883e+000
3.179999999999988e-002	1.750808e+000
3.189999999999989e-002	1.750732e+000
3.199999999999989e-002	1.750657e+000
3.209999999999989e-002	1.750582e+000
3.219999999999990e-002	1.750506e+000
3.229999999999990e-002	1.750431e+000
3.239999999999990e-002	1.750355e+000
3.249999999999990e-002	1.750279e+000
3.259999999999991e-002	1.750204e+000
3.269999999999991e-002	1.750128e+000
3.279999999999991e-002	1.750052e+000
3.289999999999992e-002	1.749976e+000
3.299999999999992e-002	1.749900e+000
3.309999999999992e-002	1.749824e+000
3.319999999999992e-002	1.749748e+000
3.329999999999993e-002	1.749672e+000
3.339999999999993e-002	1.749595e+000
3.349999999999993e-002	1.749519e+000
3.359999999999994e-002	1.749442e+000
3.369999999999994e-002	1.749366e+000
3.379999999999994e-002	1.749289e+000
3.389999999999994e-002	1.749213e+000
3.399999999999995e-002	1.749136e+000
3.409999999999995e-002	1.749059e+000
3.419999999999995e-002	1.748982e+000
3.429999999999996e-002	1.748906e+000
3.439999999999996e-002	1.748829e+000
3.449999999999996e-002	1.748752e+000
3.459999999999996e-002	1.748674e+000
3.469999999999997e-002	1.748597e+000
3.479999999999997e-002	1.748520e+000
3.489999999999997e-002	1.748443e+000
3.499999999999998e-002	1.748365e+000
3.509999999999998e-002	1.748288e+000
3.519999999999998e-002	1.748210e+000
3.529999999999998e-002	1.748133e+000
3.539999999999999e-002	1.748055e+000
3.549999999999999e-002	1.747977e+000
3.559999999999999e-002	1.747900e+000
3.570000000000000e-002	1.747822e+000
3.580000000000000e-002	1.747744e+000
3.590000000000000e-002	1.747666e+000
3.600000000000000e-002	1.747588e+000
3.610000000000001e-002	1.747510e+000
3.620000000000001e-002	1.747432e+000
3.630000000000001e-002	1.747354e+000
3.640000000000002e-002	1.747275e+000
3.650000000000002e-002	1.747197e+000
3.660000000000002e-002	1.747118e+000
3.670000000000002e-002	1.747040e+000
3.680000000000003e-002	1.746961e+000
3.690000000000003e-002	1.746883e+000
3.700000000000003e-002	1.746804e+000
3.710000000000004e-002	1.746726e+000
3.720000000000004e-002	1.746647e+000
3.730000000000004e-002	1.746568e+000
3.740000000000004e-002	1.746489e+000
3.750000000000005e-002	1.746410e+000
3.760000000000005e-002	1.746331e+000
3.770000000000005e-002	1.746252e+000
3.780000000000006e-002	1.746173e+000
3.790000000000006e-002	1.746094e+000
3.800000000000006e-002	1.746014e+000
3.810000000000006e-002	1.745935e+000
3.820000000000007e-002	1.745856e+000
3.830000000000007e-002	1.745776e+000
3.840000000000007e-002	1.745697e+000
3.850000000000008e-002	1.745617e+000
3.860000000000008e-002	1.745537e+000
3.870000000000008e-002	1.745458e+000
3.880000000000008e-002	1.745378e+000
3.890000000000009e-002	1.745298e+000
3.900000000000009e-002	1.745218e+000
3.910000000000009e-002	1.745138e+000
3.920000000000010e-002	1.745058e+000
3.930000000000010e-002	1.744978e+000
3.940000000000010e-002	1.744898e+000
3.950000000000010e-002	1.744818e+000
3.960000000000011e-002	1.744738e+000
3.970000000000011e-002	1.744658e+000
3.980000000000011e-002	1.744577e+000
3.990000000000012e-002	1.744497e+000
4.000000000000012e-002	1.744416e+000
4.010000000000012e-002	1.744336e+000
4.020000000000013e-002	1.744255e+000
4.030000000000013e-002	1.744175e+000
4.040000000000013e-002	1.744094e+000
4.050000000000013e-002	1.744013e+000
4.060000000000014e-002	1.743932e+000
4.070000000000014e-002	1.743852e+000
4.080000000000014e-002	1.743771e+000
4.090000000000015e-002	1.743690e+000
4.100000000000015e-002	1.743609e+000
4.110000000000015e-002	1.743528e+000
4.120000000000015e-002	1.743446e+000
4.130000000000016e-002	1.743365e+000
4.140000000000016e-002	1.743284e+000
4.150000000000016e-002	1.743203e+000
4.160000000000017e-002	1.743121e+000
4.170000000000017e-002	1.743040e+000
4.180000000000017e-002	1.742958e+000
4.190000000000017e-002	1.742877e+000
4.200000000000018e-002	1.742795e+000
4.210000000000018e-002	1.742714e+000
4.220000000000018e-002	1.742632e+000
4.230000000000019e-002	1.742550e+000
4.240000000000019e-002	1.742468e+000
4.250000000000019e-002	1.742387e+000
4.260000000000019e-002	1.742305e+000
4.270000000000020e-002	1.742223e+000
4.280000000000020e-002	1.742141e+000
4.290000000000020e-002	1.742059e+000
4.300000000000021e-002	1.741977e+000
4.310000000000021e-002	1.741894e+000
4.320000000000021e-002	1.741812e+000
4.330000000000021e-002	1.741730e+000
4.340000000000022e-002	1.741648e+000
4.350000000000022e-002	1.741565e+000
4.360000000000022e-002	1.741483e+000
4.370000000000023e-002	1.741400e+000
4.380000000000023e-002	1.741318e+000
4.390000000000023e-002	1.741235e+000
4.400000000000023e-002	1.741153e+000
4.410000000000024e-002	1.741070e+000
4.420000000000024e-002	1.740987e+000
4.430000000000024e-002	1.740905e+000
4.440000000000025e-002	1.740822e+000
4.450000000000025e-002	1.740739e+000
4.460000000000025e-002	1.740656e+000
4.470000000000025e-002	1.740573e+000
4.480000000000026e-002	1.740490e+000
4.490000000000026e-002	1.740407e+000
4.500000000000026e-002	1.740324e+000
4.510000000000027e-002	1.740241e+000
4.520000000000027e-002	1.740157e+000
4.530000000000027e-002	1.740074e+000
4.540000000000027e-002	1.739991e+000
4.550000000000028e-002	1.739908e+000
4.560000000000028e-002	1.739824e+000
4.570000000000028e-002	1.739741e+000
4.580000000000029e-002	1.739657e+000
4.590000000000029e-002	1.739573e+000
4.600000000000029e-002	1.739490e+000
4.610000000000029e-002	1.739406e+000
4.620000000000030e-002	1.739323e+000
4.630000000000030e-002	1.739239e+000
4.640000000000030e-002	1.739155e+000
4.650000000000031e-002	1.739071e+000
4.660000000000031e-002	1.738987e+000
4.670000000000031e-002	1.738903e+000
4.680000000000031e-002	1.738819e+000
4.690000000000032e-002	1.738735e+000
4.700000000000032e-002	1.738651e+000
4.710000000000032e-002	1.738567e+000
4.720000000000033e-002	1.738483e+000
4.730000000000033e-002	1.738399e+000
4.740000000000033e-002	1.738314e+000
4.750000000000033e-002	1.738230e+000
4.760000000000034e-002	1.738146e+000
4.770000000000034e-002	1.738061e+000
4.780000000000034e-002	1.737977e+000
4.790000000000035e-002	1.737893e+000
4.800000000000035e-002	1.737808e+000
4.810000000000035e-002	1.737723e+000
4.820000000000035e-002	1.737639e+000
4.830000000000036e-002	1.737554e+000
4.840000000000036e-002	1.737469e+000
4.850000000000036e-002	1.737385e+000
4.860000000000037e-002	1.737300e+000
4.870000000000037e-002	1.737215e+000
4.880000000000037e-002	1.737130e+000
4.890000000000037e-002	1.737045e+000
4.900000000000038e-002	1.736960e+000
4.910000000000038e-002	1.736875e+000
4.920000000000038e-002	1.736790e+000
4.930000000000039e-002	1.736705e+000
4.940000000000039e-002	1.736620e+000
4.950000000000039e-002	1.736535e+000
4.960000000000039e-002	1.736449e+000
4.970000000000040e-002	1.736364e+000
4.980000000000040e-002	1.736279e+000
4.990000000000040e-002	1.736194e+000
5.000000000000041e-002	1.736108e+000
5.010000000000041e-002	1.736023e+000
5.020000000000041e-002	1.735937e+000
5.030000000000041e-002	1.735852e+000
5.040000000000042e-002	1.735766e+000
5.050000000000042e-002	1.735680e+000
5.060000000000042e-002	1.735595e+000
5.070000000000043e-002	1.735509e+000
5.080000000000043e-002	1.735423e+000
5.090000000000043e-002	1.735338e+000
5.100000000000043e-002	1.735252e+000
5.110000000000044e-002	1.735166e+000
5.120000000000044e-002	1.735080e+000
5.130000000000044e-002	1.734994e+000
5.140000000000045e-002	1.734908e+000
5.150000000000045e-002	1.734822e+000
5.160000000000045e-002	1.734736e+000
5.170000000000045e-002	1.734650e+000
5.180000000000046e-002	1.734564e+000
5.190000000000046e-002	1.734478e+000
5.200000000000046e-002	1.734392e+000
5.210000000000047e-002	1.734305e+000
5.220000000000047e-002	1.734219e+000
5.230000000000047e-002	1.734133e+000
5.240000000000047e-002	1.734046e+000
5.250000000000048e-002	1.733960e+000
5.260000000000048e-002	1.733874e+000
5.270000000000048e-002	1.733787e+000
5.280000000000049e-002	1.733701e+000
5.290000000000049e-002	1.733614e+000
5.300000000000049e-002	1.733527e+000
5.310000000000049e-002	1.733441e+000
5.320000000000050e-002	1.733354e+000
5.330000000000050e-002	1.733267e+000
5.340000000000050e-002	1.733181e+000
5.350000000000051e-002	1.733094e+000
5.360000000000051e-002	1.733007e+000
5.370000000000051e-002	1.732920e+000
5.380000000000051e-002	1.732833e+000
5.390000000000052e-002	1.732746e+000
5.400000000000052e-002	1.732659e+000
5.410000000000052e-002	1.732573e+000
5.420000000000053e-002	1.732486e+000
5.430000000000053e-002	1.732398e+000
5.440000000000053e-002	1.732311e+000
5.450000000000053e-002	1.732224e+000
5.460000000000054e-002	1.732137e+000
