vin	d(V(vout))
0.000000000000000e+000	-4.768372e-001
1.000000000000000e-004	-4.780293e-001
2.000000000000000e-004	-4.792213e-001
3.000000000000000e-004	-4.798174e-001
4.000000000000000e-004	-4.804134e-001
5.000000000000000e-004	-4.816055e-001
6.000000000000001e-004	-4.827976e-001
7.000000000000001e-004	-4.833937e-001
8.000000000000002e-004	-4.839897e-001
9.000000000000002e-004	-4.851818e-001
1.000000000000000e-003	-4.863739e-001
1.100000000000000e-003	-4.869699e-001
1.200000000000000e-003	-4.875660e-001
1.300000000000000e-003	-4.887581e-001
1.400000000000000e-003	-4.899502e-001
1.500000000000001e-003	-4.905462e-001
1.600000000000001e-003	-4.917383e-001
1.700000000000001e-003	-4.923344e-001
1.800000000000001e-003	-4.929304e-001
1.900000000000001e-003	-4.941225e-001
2.000000000000001e-003	-4.953146e-001
2.100000000000000e-003	-4.965067e-001
2.200000000000000e-003	-4.971027e-001
2.300000000000000e-003	-4.976988e-001
2.400000000000000e-003	-4.988909e-001
2.500000000000000e-003	-4.994869e-001
2.599999999999999e-003	-5.006790e-001
2.699999999999999e-003	-5.018711e-001
2.799999999999999e-003	-5.018711e-001
2.899999999999999e-003	-5.030632e-001
2.999999999999999e-003	-5.042553e-001
3.099999999999999e-003	-5.054474e-001
3.199999999999998e-003	-5.060434e-001
3.299999999999998e-003	-5.066395e-001
3.399999999999998e-003	-5.084276e-001
3.499999999999998e-003	-5.090237e-001
3.599999999999998e-003	-5.096197e-001
3.699999999999998e-003	-5.102158e-001
3.799999999999997e-003	-5.114079e-001
3.899999999999997e-003	-5.125999e-001
3.999999999999998e-003	-5.131960e-001
4.099999999999998e-003	-5.143881e-001
4.199999999999998e-003	-5.149841e-001
4.299999999999998e-003	-5.161762e-001
4.399999999999999e-003	-5.173683e-001
4.499999999999999e-003	-5.179644e-001
4.599999999999999e-003	-5.185604e-001
4.699999999999999e-003	-5.197525e-001
4.800000000000000e-003	-5.209446e-001
4.900000000000000e-003	-5.215406e-001
5.000000000000000e-003	-5.221367e-001
5.100000000000000e-003	-5.233288e-001
5.200000000000001e-003	-5.245209e-001
5.300000000000001e-003	-5.251169e-001
5.400000000000001e-003	-5.263090e-001
5.500000000000001e-003	-5.269051e-001
5.600000000000002e-003	-5.280972e-001
5.700000000000002e-003	-5.292892e-001
5.800000000000002e-003	-5.298853e-001
5.900000000000003e-003	-5.304813e-001
6.000000000000003e-003	-5.316734e-001
6.100000000000003e-003	-5.328655e-001
6.200000000000003e-003	-5.334616e-001
6.300000000000004e-003	-5.340576e-001
6.400000000000004e-003	-5.352497e-001
6.500000000000004e-003	-5.364418e-001
6.600000000000004e-003	-5.370378e-001
6.700000000000005e-003	-5.382299e-001
6.800000000000005e-003	-5.388260e-001
6.900000000000005e-003	-5.400181e-001
7.000000000000005e-003	-5.412102e-001
7.100000000000006e-003	-5.412102e-001
7.200000000000006e-003	-5.424023e-001
7.300000000000006e-003	-5.441904e-001
7.400000000000006e-003	-5.447865e-001
7.500000000000007e-003	-5.453825e-001
7.600000000000007e-003	-5.459785e-001
7.700000000000007e-003	-5.471706e-001
7.800000000000007e-003	-5.483627e-001
7.900000000000008e-003	-5.489588e-001
8.000000000000007e-003	-5.501509e-001
8.100000000000007e-003	-5.507469e-001
8.200000000000006e-003	-5.519390e-001
8.300000000000005e-003	-5.531311e-001
8.400000000000005e-003	-5.537271e-001
8.500000000000004e-003	-5.543232e-001
8.600000000000004e-003	-5.555153e-001
8.700000000000003e-003	-5.567074e-001
8.800000000000002e-003	-5.573034e-001
8.900000000000002e-003	-5.584955e-001
9.000000000000001e-003	-5.590916e-001
9.100000000000000e-003	-5.602837e-001
9.200000000000000e-003	-5.614758e-001
9.299999999999999e-003	-5.620718e-001
9.399999999999999e-003	-5.626678e-001
9.499999999999998e-003	-5.638599e-001
9.599999999999997e-003	-5.650520e-001
9.699999999999997e-003	-5.656481e-001
9.799999999999996e-003	-5.662441e-001
9.899999999999996e-003	-5.674362e-001
9.999999999999995e-003	-5.686283e-001
1.009999999999999e-002	-5.692244e-001
1.019999999999999e-002	-5.704165e-001
1.029999999999999e-002	-5.710125e-001
1.039999999999999e-002	-5.722046e-001
1.049999999999999e-002	-5.733967e-001
1.059999999999999e-002	-5.739927e-001
1.069999999999999e-002	-5.745888e-001
1.079999999999999e-002	-5.757809e-001
1.089999999999999e-002	-5.769730e-001
1.099999999999999e-002	-5.775690e-001
1.109999999999999e-002	-5.781651e-001
1.119999999999999e-002	-5.793571e-001
1.129999999999999e-002	-5.805492e-001
1.139999999999999e-002	-5.811453e-001
