vout	abs(1/d(I(Vout)))
0.000000000000000e+000	3.028784e+002
1.000000000000000e-003	3.038023e+002
2.000000000000000e-003	3.056699e+002
3.000000000000000e-003	3.075578e+002
4.000000000000000e-003	3.094663e+002
5.000000000000000e-003	3.113959e+002
6.000000000000000e-003	3.133440e+002
7.000000000000000e-003	3.153166e+002
8.000000000000000e-003	3.173113e+002
9.000000000000001e-003	3.193255e+002
1.000000000000000e-002	3.213653e+002
1.100000000000000e-002	3.234284e+002
1.200000000000000e-002	3.255119e+002
1.300000000000001e-002	3.276194e+002
1.400000000000001e-002	3.297543e+002
1.500000000000001e-002	3.319140e+002
1.600000000000001e-002	3.340957e+002
1.700000000000001e-002	3.363030e+002
1.800000000000001e-002	3.385363e+002
1.900000000000001e-002	3.407960e+002
2.000000000000001e-002	3.430828e+002
2.100000000000001e-002	3.453969e+002
2.200000000000001e-002	3.477390e+002
2.300000000000001e-002	3.501059e+002
2.400000000000001e-002	3.525016e+002
2.500000000000002e-002	3.549303e+002
2.600000000000002e-002	3.573853e+002
2.700000000000002e-002	3.598707e+002
2.800000000000002e-002	3.623872e+002
2.900000000000002e-002	3.649351e+002
3.000000000000002e-002	3.675113e+002
3.100000000000002e-002	3.701202e+002
3.200000000000002e-002	3.727623e+002
3.300000000000002e-002	3.754342e+002
3.400000000000002e-002	3.781447e+002
3.500000000000002e-002	3.808904e+002
3.600000000000003e-002	3.836633e+002
3.700000000000003e-002	3.864770e+002
3.800000000000003e-002	3.893278e+002
3.900000000000003e-002	3.922076e+002
4.000000000000003e-002	3.951303e+002
4.100000000000003e-002	3.980922e+002
4.200000000000003e-002	4.010896e+002
4.300000000000003e-002	4.041276e+002
4.400000000000003e-002	4.072072e+002
4.500000000000003e-002	4.103243e+002
4.600000000000003e-002	4.134796e+002
4.700000000000004e-002	4.166787e+002
4.800000000000004e-002	4.199276e+002
4.900000000000004e-002	4.232120e+002
5.000000000000004e-002	4.265429e+002
5.100000000000004e-002	4.299213e+002
5.200000000000004e-002	4.333372e+002
5.300000000000004e-002	4.368078e+002
5.400000000000004e-002	4.403232e+002
5.500000000000004e-002	4.438841e+002
5.600000000000004e-002	4.475031e+002
5.700000000000004e-002	4.511639e+002
5.800000000000005e-002	4.548790e+002
5.900000000000005e-002	4.586435e+002
6.000000000000005e-002	4.624585e+002
6.100000000000005e-002	4.663374e+002
6.200000000000005e-002	4.702626e+002
6.300000000000004e-002	4.742447e+002
6.400000000000004e-002	4.782848e+002
6.500000000000004e-002	4.823807e+002
6.600000000000005e-002	4.865337e+002
6.700000000000005e-002	4.907517e+002
6.800000000000005e-002	4.950293e+002
6.900000000000005e-002	4.993676e+002
7.000000000000005e-002	5.037715e+002
7.100000000000005e-002	5.082350e+002
7.200000000000005e-002	5.127669e+002
7.300000000000005e-002	5.173646e+002
7.400000000000005e-002	5.220298e+002
7.500000000000005e-002	5.267677e+002
7.600000000000005e-002	5.315718e+002
7.700000000000006e-002	5.364476e+002
7.800000000000006e-002	5.414009e+002
7.900000000000006e-002	5.464248e+002
8.000000000000006e-002	5.515251e+002
8.100000000000006e-002	5.567035e+002
8.200000000000006e-002	5.619570e+002
8.300000000000006e-002	5.672919e+002
8.400000000000006e-002	5.727100e+002
8.500000000000006e-002	5.782083e+002
8.600000000000006e-002	5.837883e+002
8.700000000000006e-002	5.894620e+002
8.800000000000006e-002	5.952160e+002
8.900000000000007e-002	6.010573e+002
9.000000000000007e-002	6.069982e+002
9.100000000000007e-002	6.130194e+002
9.200000000000007e-002	6.191390e+002
9.300000000000007e-002	6.253592e+002
9.400000000000007e-002	6.316651e+002
9.500000000000007e-002	6.380757e+002
9.600000000000007e-002	6.445875e+002
9.700000000000007e-002	6.511966e+002
9.800000000000007e-002	6.579111e+002
9.900000000000007e-002	6.647334e+002
1.000000000000001e-001	6.716593e+002
1.010000000000001e-001	6.786975e+002
1.020000000000001e-001	6.858437e+002
1.030000000000001e-001	6.930930e+002
1.040000000000001e-001	7.004686e+002
1.050000000000001e-001	7.079592e+002
1.060000000000001e-001	7.155595e+002
1.070000000000001e-001	7.232868e+002
1.080000000000001e-001	7.311360e+002
1.090000000000001e-001	7.391019e+002
1.100000000000001e-001	7.471945e+002
1.110000000000001e-001	7.554164e+002
1.120000000000001e-001	7.637704e+002
1.130000000000001e-001	7.722418e+002
1.140000000000001e-001	7.808499e+002
1.150000000000001e-001	7.896068e+002
1.160000000000001e-001	7.984880e+002
1.170000000000001e-001	8.075049e+002
1.180000000000001e-001	8.166696e+002
1.190000000000001e-001	8.259751e+002
1.200000000000001e-001	8.354139e+002
1.210000000000001e-001	8.449982e+002
1.220000000000001e-001	8.547411e+002
1.230000000000001e-001	8.646243e+002
1.240000000000001e-001	8.746608e+002
1.250000000000001e-001	8.848533e+002
1.260000000000001e-001	8.951812e+002
1.270000000000001e-001	9.056813e+002
1.280000000000001e-001	9.163452e+002
1.290000000000001e-001	9.271506e+002
1.300000000000001e-001	9.381114e+002
1.310000000000001e-001	9.492427e+002
1.320000000000001e-001	9.605473e+002
1.330000000000001e-001	9.720144e+002
1.340000000000001e-001	9.836319e+002
1.350000000000001e-001	9.954151e+002
1.360000000000001e-001	1.007381e+003
1.370000000000001e-001	1.019516e+003
1.380000000000001e-001	1.031808e+003
1.390000000000001e-001	1.044274e+003
1.400000000000001e-001	1.056914e+003
1.410000000000001e-001	1.069730e+003
1.420000000000001e-001	1.082708e+003
1.430000000000001e-001	1.095865e+003
1.440000000000001e-001	1.109220e+003
1.450000000000001e-001	1.122739e+003
1.460000000000001e-001	1.136423e+003
1.470000000000001e-001	1.150271e+003
1.480000000000001e-001	1.164303e+003
1.490000000000001e-001	1.178540e+003
1.500000000000001e-001	1.192922e+003
1.510000000000001e-001	1.207490e+003
1.520000000000001e-001	1.222245e+003
1.530000000000001e-001	1.237163e+003
1.540000000000001e-001	1.252268e+003
1.550000000000001e-001	1.267536e+003
1.560000000000001e-001	1.283013e+003
1.570000000000001e-001	1.298628e+003
1.580000000000001e-001	1.314400e+003
1.590000000000001e-001	1.330381e+003
1.600000000000001e-001	1.346543e+003
1.610000000000001e-001	1.362860e+003
1.620000000000001e-001	1.379355e+003
1.630000000000001e-001	1.396000e+003
1.640000000000001e-001	1.412818e+003
1.650000000000001e-001	1.429839e+003
1.660000000000001e-001	1.446970e+003
1.670000000000001e-001	1.464266e+003
1.680000000000001e-001	1.481790e+003
1.690000000000001e-001	1.499443e+003
1.700000000000001e-001	1.517221e+003
1.710000000000001e-001	1.535150e+003
1.720000000000001e-001	1.553263e+003
1.730000000000001e-001	1.571557e+003
1.740000000000001e-001	1.589993e+003
1.750000000000001e-001	1.608564e+003
1.760000000000001e-001	1.627228e+003
1.770000000000001e-001	1.646094e+003
1.780000000000001e-001	1.665119e+003
1.790000000000001e-001	1.684260e+003
1.800000000000001e-001	1.703507e+003
1.810000000000001e-001	1.722940e+003
1.820000000000001e-001	1.742513e+003
1.830000000000001e-001	1.762128e+003
1.840000000000001e-001	1.781913e+003
1.850000000000001e-001	1.801864e+003
1.860000000000001e-001	1.821928e+003
1.870000000000001e-001	1.842098e+003
1.880000000000001e-001	1.862367e+003
1.890000000000001e-001	1.882777e+003
1.900000000000001e-001	1.903270e+003
1.910000000000001e-001	1.923891e+003
1.920000000000001e-001	1.944634e+003
1.930000000000001e-001	1.965435e+003
1.940000000000001e-001	1.986342e+003
1.950000000000002e-001	2.007404e+003
1.960000000000002e-001	2.028559e+003
1.970000000000002e-001	2.049737e+003
1.980000000000002e-001	2.070987e+003
1.990000000000002e-001	2.092427e+003
2.000000000000002e-001	2.113925e+003
2.010000000000002e-001	2.135472e+003
2.020000000000002e-001	2.157123e+003
2.030000000000002e-001	2.178804e+003
2.040000000000002e-001	2.200643e+003
2.050000000000002e-001	2.222493e+003
2.060000000000002e-001	2.244341e+003
2.070000000000002e-001	2.266399e+003
2.080000000000002e-001	2.288513e+003
2.090000000000002e-001	2.310520e+003
2.100000000000002e-001	2.332716e+003
2.110000000000002e-001	2.355020e+003
2.120000000000002e-001	2.377343e+003
2.130000000000002e-001	2.399674e+003
2.140000000000002e-001	2.422002e+003
2.150000000000002e-001	2.444489e+003
2.160000000000002e-001	2.466954e+003
2.170000000000002e-001	2.489475e+003
2.180000000000002e-001	2.512044e+003
2.190000000000002e-001	2.534652e+003
2.200000000000002e-001	2.557289e+003
2.210000000000002e-001	2.579947e+003
2.220000000000002e-001	2.602616e+003
2.230000000000002e-001	2.625286e+003
2.240000000000002e-001	2.648149e+003
2.250000000000002e-001	2.670896e+003
2.260000000000002e-001	2.693614e+003
2.270000000000002e-001	2.716400e+003
2.280000000000002e-001	2.739137e+003
2.290000000000002e-001	2.761926e+003
2.300000000000002e-001	2.784871e+003
2.310000000000002e-001	2.807742e+003
2.320000000000002e-001	2.830408e+003
2.330000000000002e-001	2.853206e+003
2.340000000000002e-001	2.876134e+003
2.350000000000002e-001	2.898822e+003
2.360000000000002e-001	2.921622e+003
2.370000000000002e-001	2.944405e+003
2.380000000000002e-001	2.967162e+003
2.390000000000002e-001	2.989883e+003
2.400000000000002e-001	3.012427e+003
2.410000000000002e-001	3.035179e+003
2.420000000000002e-001	3.057868e+003
2.430000000000002e-001	3.080348e+003
2.440000000000002e-001	3.102740e+003
2.450000000000002e-001	3.125317e+003
2.460000000000002e-001	3.147793e+003
2.470000000000002e-001	3.170010e+003
2.480000000000002e-001	3.192394e+003
2.490000000000002e-001	3.214645e+003
2.500000000000002e-001	3.236599e+003
2.510000000000002e-001	3.258701e+003
2.520000000000002e-001	3.280792e+003
2.530000000000002e-001	3.302551e+003
2.540000000000002e-001	3.324278e+003
2.550000000000002e-001	3.346130e+003
2.560000000000002e-001	3.367611e+003
2.570000000000002e-001	3.389036e+003
2.580000000000002e-001	3.410396e+003
2.590000000000002e-001	3.431513e+003
2.600000000000002e-001	3.452720e+003
2.610000000000002e-001	3.473663e+003
